distance,num
10,1
11,1
11,1
11,1
11,1
12,2
12,2
17,1
10,1
11,2
11,2
11,2
11,2
12,2
12,2
12,2
11,1
11,1
11,1
25,4
14,2
14,2
14,2
15,2
15,2
15,2
14,2
16,2
14,2
16,2
14,9
9,2
13,4
14,4
10,2
14,4
15,4
19,4
19,4
19,4
17,36
17,36
18,4
18,4
31,4
16,3
21,1
25,1
23,1
27,1
11,1
15,2
18,2
26,4
40,16
19,2
15,1
15,1
14,1
14,1
14,1
15,1
14,1
16,1
17,2
11,1
11,1
12,1
14,1
34,2
34,2
27,2
29,2
29,2
16,1
15,4
22,4
22,12
22,12
22,12
16,4
16,4
16,12
16,12
20,1
20,1
20,3
20,3
20,3
18,1
24,1
17,1
25,1
29,1
35,1
41,1
40,3
10,2
34,1
34,1
34,1
40,4
17,1
29,1
17,1
29,1
17,1
17,1
25,4
17,1
25,4
25,4
13,1
15,1
17,1
11,1
33,1
32,1
6,3
12,2
35,16
35,16
35,16
21,1
33,1
21,1
33,1
33,1
31,1
31,1
20,1
20,1
20,1
20,1
18,1
28,1
32,1
32,1
30,1
32,1
46,1
32,1
20,1
20,1
32,1
10,1
16,3
16,1
16,1
16,3
10,1
11,1
17,1
17,1
18,1
20,1
22,1
24,1
16,2
16,2
19,6
20,6
34,4
36,4
34,12
10,2
10,2
10,2
10,1
8,6
8,6
16,3
16,3
24,12
36,12
34,1
24,3
28,12
46,1
36,1
36,1
40,1
32,3
20,3
32,3
17,1
23,4
27,1
27,16
21,1
25,4
27,4
6,18
16,3
16,3
16,3
24,4
21,1
21,1
23,1
17,1
19,1
12,2
12,1
12,2
12,2
12,2
12,2
12,2
12,2
12,2
24,3
50,12
27,1
27,4
42,4
42,12
17,2
17,2
25,4
19,1
16,2
31,1
15,2
16,1
17,1
30,1
25,4
29,1
29,4
26,4
30,4
27,4
15,2
16,1
22,4
17,2
16,1
16,1
24,4
12,1
12,1
10,2
16,1
16,1
24,4
20,1
20,3
13,1
15,1
17,1
19,1
29,1
24,4
24,4
18,4
19,4
22,3
22,3
22,3
34,3
15,2
19,4
21,2
14,2
14,2
29,1
29,1
29,1
19,4
22,4
28,4
29,1
29,1
29,1
25,4
10,2
16,2
22,2
28,2
34,2
4,1
10,1
17,1
20,3
10,2
9,1
12,3
16,1
16,4
16,1
10,2
16,1
26,12
22,12
30,12
26,12
22,12
22,2
14,1
22,1
15,4
17,2
19,4
15,4
17,2
19,4
22,12
26,3
30,12
22,12
26,3
30,12
38,4
35,4
37,4
40,4
16,12
22,12
24,3
33,8
35,2
17,1
17,1
25,1
15,9
29,1
29,1
10,1
19,1
18,4
29,4
19,4
30,12
9,1
9,1
10,2
11,2
11,2
11,2
11,1
12,1
12,1
12,1
14,2
14,2
13,1
8,3
7,6
7,6
5,4
12,2
19,1
8,4
15,2
22,1
8,3
26,12
7,6
28,12
10,2
8,2
8,2
9,2
9,2
10,2
11,1
27,1
23,1
24,4
28,4
16,1
16,1
9,4
19,4
29,4
39,4
16,1
10,2
24,12
9,2
13,4
11,2
12,6
18,6
13,6
31,4
31,4
23,4
30,4
37,4
44,4
30,4
37,4
44,4
36,4
11,1
11,1
11,1
10,1
12,2
13,2
13,2
13,2
15,1
16,1
12,2
16,4
24,4
17,4
26,4
24,4
24,4
24,4
23,2
39,4
19,1
31,1
23,2
39,4
14,2
15,4
16,4
16,4
20,1
24,4
24,4
20,3
24,12
11,2
13,2
13,2
12,3
17,1
20,2
21,4
21,4
21,4
31,16
31,16
19,4
19,4
17,4
16,4
14,6
11,9
11,9
11,9
25,4
28,4
28,4
32,4
32,4
31,4
17,4
25,4
23,4
31,4
29,16
37,4
35,4
15,2
23,4
23,16
27,16
26,8
32,4
27,8
45,16
16,2
15,4
16,5
16,5
18,1
16,5
16,1
16,1
16,1
16,1
16,1
16,1
16,1
10,1
10,1
8,1
6,3
10,1
10,1
10,1
10,1
11,1
11,1
11,9
23,6
6,5
3,3
6,5
10,1
8,3
8,3
18,3
13,2
16,3
20,3
24,3
20,12
22,12
20,27
24,3
22,3
22,3
8,3
19,4
6,1
9,6
9,6
16,2
16,4
22,4
38,2
40,2
28,2
34,1
34,1
24,12
26,3
26,1
16,1
15,1
13,4
17,2
21,4
21,4
17,2
16,1
16,3
27,4
27,4
15,2
27,4
17,1
17,1
17,1
15,4
21,1
11,1
13,1
15,1
26,3
25,3
25,3
24,3
15,2
21,2
22,1
34,1
22,3
34,3
18,1
16,2
17,1
19,1
20,2
21,1
23,1
28,4
16,6
24,9
24,27
22,2
34,3
18,2
28,1
28,3
25,4
29,4
27,4
17,4
25,4
33,4
40,12
28,2
27,4
17,1
25,4
34,3
29,1
29,1
20,1
26,3
34,1
29,4
21,2
26,2
28,4
8,3
9,2
21,1
21,1
29,4
29,4
21,1
29,4
29,4
17,1
21,1
23,1
21,1
31,1
33,1
41,1
34,3
30,3
40,3
40,3
22,3
22,3
34,3
52,4
26,2
13,2
13,2
15,4
14,2
18,4
26,4
49,12
16,4
16,4
34,3
33,1
33,1
33,1
33,1
33,1
21,1
12,2
12,2
14,2
21,1
21,2
28,12
49,4
19,1
27,2
17,1
16,1
29,4
21,1
29,4
29,4
29,4
21,1
21,1
29,4
28,4
17,1
47,16
69,16
15,2
15,2
24,6
11,1
7,2
25,16
15,16
16,6
28,4
11,9
31,6
28,4
19,4
19,4
27,2
14,4
18,1
32,1
32,1
22,4
35,4
35,4
28,2
36,2
19,4
12,2
16,1
16,1
8,1
8,1
10,1
8,1
15,4
17,4
17,4
17,8
16,4
16,2
16,4
19,6
21,4
23,8
20,2
20,2
18,3
18,2
24,9
24,27
29,4
27,4
20,3
16,12
16,12
16,12
36,12
29,4
31,4
33,4
33,4
39,4
14,4
27,1
27,1
27,1
40,4
40,4
28,4
13,1
21,4
21,4
18,4
20,4
18,4
7,4
12,8
12,16
17,48
7,4
23,1
23,4
19,4
23,4
21,1
21,1
10,1
10,1
12,1
25,4
17,2
11,2
11,2
11,2
24,25
24,75
27,20
25,20
26,10
12,2
12,1
12,1
12,2
14,1
14,1
14,1
14,1
14,1
15,4
18,2
17,2
19,4
8,4
8,4
8,8
8,8
22,4
22,4
5,1
10,2
10,2
24,12
15,1
19,1
33,1
33,1
14,1
22,4
14,1
16,1
16,12
14,3
16,12
27,4
25,4
12,1
14,1
20,1
20,1
8,3
40,4
14,4
10,2
12,2
13,2
48,16
51,16
24,4
40,16
42,16
58,64
13,1
13,1
12,1
14,2
13,1
40,4
40,4
40,4
21,4
45,16
19,1
19,1
21,1
12,2
12,2
12,2
12,2
12,2
12,2
12,2
12,2
25,1
26,1
27,2
16,4
19,1
19,1
19,1
25,2
24,2
23,1
23,1
25,1
24,1
18,1
26,4
18,1
18,1
18,1
26,4
13,4
13,4
34,4
13,4
13,4
10,1
16,1
18,1
